¿œ¿⁄,PM-10
2016-02-01,36
2016-02-02,34
2016-02-03,54
2016-02-04,78
2016-02-05,51
2016-02-06,46
2016-02-07,44
2016-02-08,62
2016-02-09,56
2016-02-10,41
2016-02-11,43
2016-02-12,33
2016-02-13,22
2016-02-14,19
2016-02-15,27
2016-02-16,43
2016-02-17,30
2016-02-18,51
2016-02-19,67
2016-02-20,91
2016-02-21,29
2016-02-22,48
2016-02-23,91
2016-02-24,30
2016-02-25,40
2016-02-26,92
2016-02-27,120
2016-02-28,103
2016-02-29,37
2016-03-01,35
2016-03-02,49
2016-03-03,48
2016-03-04,33
2016-03-05,42
2016-03-06,53
2016-03-07,77
2016-03-08,68
2016-03-09,39
2016-03-10,35
2016-03-11,33
2016-03-12,63
2016-03-13,76
2016-03-14,83
2016-03-15,82
2016-03-16,81
2016-03-17,69
2016-03-18,31
2016-03-19,64
2016-03-20,66
2016-03-21,48
2016-03-22,61
2016-03-23,66
2016-03-24,38
2016-03-25,31
2016-03-26,39
2016-03-27,56
2016-03-28,66
2016-03-29,88
2016-03-30,75
2016-03-31,98
2016-04-01,97
2016-04-02,87
2016-04-03,46
2016-04-04,18
2016-04-05,48
2016-04-06,62
2016-04-07,19
2016-04-08,58
2016-04-09,117
2016-04-10,128
2016-04-11,66
2016-04-12,44
2016-04-13,26
2016-04-14,61
2016-04-15,54
2016-04-16,45
2016-04-17,31
2016-04-18,49
2016-04-19,48
2016-04-20,46
2016-04-21,27
2016-04-22,54
2016-04-23,190
2016-04-24,168
2016-04-25,107
2016-04-26,66
2016-04-27,28
2016-04-28,27
2016-04-29,54
2016-04-30,64
2016-05-01,53
2016-05-02,50
2016-05-03,29
2016-05-04,60
2016-05-05,47
2016-05-06,38
2016-05-07,162
2016-05-08,74
2016-05-09,
2016-05-10,36
2016-05-11,21
2016-05-12,32
2016-05-13,42
2016-05-14,43
2016-05-15,35
2016-05-16,33
2016-05-17,45
2016-05-18,52
2016-05-19,47
2016-05-20,44
2016-05-21,47
2016-05-22,51
2016-05-23,55
2016-05-24,36
2016-05-25,59
2016-05-26,87
2016-05-27,85
2016-05-28,90
2016-05-29,78
2016-05-30,66
2016-05-31,78
2016-06-01,69
2016-06-02,36
2016-06-03,48
2016-06-04,44
2016-06-05,28
2016-06-06,31
2016-06-07,
2016-06-08,83
2016-06-09,80
2016-06-10,83
2016-06-11,60
2016-06-12,55
2016-06-13,59
2016-06-14,53
2016-06-15,51
2016-06-16,36
2016-06-17,46
2016-06-18,56
2016-06-19,47
2016-06-20,76
2016-06-21,59
2016-06-22,55
2016-06-23,33
2016-06-24,29
2016-06-25,32
2016-06-26,37
2016-06-27,65
2016-06-28,51
2016-06-29,37
2016-06-30,39
